Claim Description,Coverage Code,Accident Source,topic,probability,topic_name
THE COMPRESSOR ON THE REFRIGERATOR IN THE KITCHEN BROKE. ALL OF   THE FOOD AND MILK WENT BAD AND HAD TO BE THROWN AWAY.,RC,"Plumbing,Heating,AC,Discharge,Overflowing",-1,0.0,Miscellaneous / Noise
"OFFICER RUIZ WAS ON A CALL OF A DOMESTIC DISTURBANCE. AS THEY WEREESCORTING OFF THE PREMISES DOWN THE STAIRS, THE OFFICER FELL DOWN ON THE STAIRS, CAUSING PAIN TO HIS HEAD, NECK AND BACK.",NS,Stairs,0,1.0,Rear-End Collision (IV hits OV)
INSURED VEHICLE HIT THIRD PARTY VEHICLE WHILE MANEUVERING CAUSING VEHICLE DAMAGE.,AD,Reversing/Manoeuvring,5,0.8516896697011179,Third Party Reversing
CLAIMANT SUFFERED PROPERTY DAMAGE DUE TO EXCAVATION,GD,"Excavation, trench, tunnel",3,0.3236210007414154,Small Property Damage
CLIENT VEHICLE BACKED INTO CLAIMANT BUILDING CAUSING ROOF DAMAGES.,AD,"Struck building, overhang",5,0.3631345815601939,Third Party Reversing
MOSQUITO APPLICATION CAUSED INTERIOR PROPERTY DAMAGE THAT REQUIREDCOMPLETE CLEANUP & REPLACEMENT,GD,Emissions of chemicals and/or gases,3,0.354669571764143,Small Property Damage
"CLAIMANT ALLEGES THEY ORDERED HOT COFFEE BUT WHEN THE COFFEE WAS  HANDED TO HIM, THE LID POPPED OFF. THE HOT COFFEE CAUSED 2ND      DEGREE BURNS ON HIS HAND, AND SPILLED ON THE INTERIOR OF HIS CAR  AND THE OUTSIDE.",PA,Alleged Negligent Act,15,1.0,Rear-End Collision (Client hits others)
CRACKED WINDSHIELD,AD,Vehicle - passenger,10,1.0,Delivery / Door/Window Damage
THIRD PARTY HIT CUSTOMER IN REAR CAUSING DAMAGE AND LOSS,AU,Hit in Rear by Third Party,5,0.5119612957918085,Third Party Reversing
CLAIMANT ALLEGES SHE WAS CLIMBING ON THE DRINKING STATION. SHE    SLIPPED. IT IS UNKNOWN IF SHE FELL.SHE LACERATED HER LEFT LEG ON  THEDRINKING STATION.,GB,Alleged improper maintenance - other,0,1.0,Rear-End Collision (IV hits OV)
"SMALL PD:WHILE SERVICING A CONTAINER AT THE CUSTOMER LOCATION, THEBIN STRUCK A ROLL UP DOOR DAMAGING THE DOOR.NO INJURY.",AL,Struck dock/garage door,6,0.760351638312903,School Bus / Student Accident
"INSURED IS EASTBOUND ON HILLSIDE AVE. DRIVER OF MERCEDESBENZ      SPRINTER4500 IS AT THE STOP SIGN ON HARDING TERRACE. DRIVER       OFMERCEDES BENZ SPRINTER4500 HAS A STOP SIGN, INSURED VEHICLE HAS THERIGHT OF WAY. DRIVER OF MERCEDES BENZ SPRINTER4500 THEN        PROCEEDS TOTURN LEFT FROM THE STOP SIGN ONTO HILLSIDE AVE. INSUREDRECOGNIZES THISAND TAKES EVASIVE ACTION BY DUMPING HIS BIKE TO    AVOID A COLLISION.",AD,Intersection accident,5,0.5608997976182618,Third Party Reversing
"SP DRIVER WAITING TO MAKE LEFT TURN, WENT TO TURN ON YELLOW LIGHT,THOUGHT HE HAD ENOUGH CLEARANCE BUT DID NOT, SP DRIVER HIT VEHICLE#2 FRONT DRIVER SIDE WITH SP FRONT DRIVER SIDE. NO INJ/TOWS.      DRIVERS WENT TO POLICE DEPARTMENT & FILED REPORT.",AD,Our vehicle turning left,-1,0.0,Miscellaneous / Noise
VEHICLE ENTERED THE PARKING LOT INCORRECTLY. THEY ATTEMPTED TO    TURN AROUND AND STRUCK THE ORDER TAKING POLE.,RB,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
ALLEGED IMPROPER MISHANDLING OF DECEDENT REMAINS.,PL,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
NO INJURIES ANOTHER VEHICLE HIT THE DRIVERS SIDE MIRROW BUT NO    DAMAGES OCCUR TO THE TRANSIT BUS.,AP,Sideswipe or lane change,8,0.7658555776304136,Police / Driveway Incidents
CLAIMANT SHIVERING IN AN UNCONTROLLABLE STATE  DUE TO DEFECTIVE   COLD CAB HEATERS .,EL,Alleged improper maintenance - other,15,1.0,Rear-End Collision (Client hits others)
CLIENT DRIVER CAUSED 5 VEHICLE REAR-END COLLISION ACCIDENT,AP,Struck vehicle in rear,2,0.6359309532380766,Water Damage / Frozen Pipes
"SMALL PD: WHILE THE IV ATTEMPTED TO CENTER IN THE LANE AFTER THE  ROUNDABOUT, THE IV SIDESWIPED THE D/S BUMPER AND QUARTER PANEL OF THE PARKED AND UNOCCUPIED OV. NO INJURIES. NO DAMAGE TO THE IV.   THERE WAS DAMAGE TO THE D/S BUMPER AND QUARTER PANEL ON THE OV.",AL,Struck parked vehicle,-1,0.0,Miscellaneous / Noise
"AS PER CUSTOMER HE DROVE INTO THE SOIL CAGE- GET SOIL LOADED ,SAIDHE DROVE ON THE STRAPPING AND CLIP LYING ON THE GROUND AND IT     PUNCTURED HIS TIRE.  THE LOADING ASSOICATE IN THE SOIL CAGE SAID  THE STRAPING AND CLIP WAS ALREADY THERE WHEN HE DROVE IN.",GD,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
CLAIMANT ALLEGES DISCRIMINATION AND A VERBAL ALTERCATION WITH THE EE RESULTING IN PHYSICAL DISTRESS.,PI,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
DOL 01.09.23 IV STRUCK PARKED VEHICLE.,AD,Struck parked vehicle,-1,0.0,Miscellaneous / Noise
AGG UUW FOOT CHASE,NS,"Human Action, NOC",-1,0.0,Miscellaneous / Noise
"THE IV WAS TURNING LEFT OUT OF THE PARKING LOT, WHEN IT WAS STRUCKON THE D/S BY THE OV, WHICH HAD PULLED AROUND ANOTHER VEHICLE. THEIV WAS SCRAPED ON THE D/S FROM THE FRONT ABOVE THE WHEEL TO THE   BACK ABOVE THE WHEEL. THE OV FRONT BUMPER WAS SCRAPED AND DENTED. NO INJURY REPORTED.",AD,Struck parked vehicle,1,0.9986571890875594,Slip / Trip / Fall
"SP VEHICLE ATTEMPTED TO DRIVE THROUGH A CLOSING GATE. THE GATE    CLOSED ON THE SP VEHICLE, CAUSING THE GATE TO BREAK. NO INJURIES, NO TOW, NO POLICE.",AD,Struck animal or object,-1,0.0,Miscellaneous / Noise
LOST BALANCE BACKING UP,GB,Ground/floor,13,1.0,Two-Vehicle Parked Collision
CLAIMANT ALLEGES CONSUMPTION OF ELMIRON CAUSED VISION RELATED     INJURIES,PA,"Alleged product loss, NOC",-1,0.0,Miscellaneous / Noise
UNKNOWN.,PB,Not Otherwise Classified,-1,0.0,Miscellaneous / Noise
"SMALL PD. THE IV DRIVER PUSHED ON THE GATE AT THE END OF THE      DRIVEWAY, AND DAMAGED THE MOTOR ON THE GATE.",AL,Struck animal or object,6,1.0,School Bus / Student Accident
SMALL PD. THE IV DRIVER WAS SERVING A CAN WHEN HE LEFT A RUT BY   THE DUMPSTER DUE THE WEATHER CONDITIONS.,AL,Damage to landscaping,6,0.783752360507303,School Bus / Student Accident
THE PASSENGER WAS ON THE IV WHEN SHE BROKE HER ANKLE.,AB,Alleged damage to property of others,0,1.0,Rear-End Collision (IV hits OV)
"OUR DRIVER (HOOBER EMPLOYEE DWAINE LANDIS) WAS TRAVELLING         SOUTHBOUND ON I-81 IN MARYLAND.  A MOTORHOME TOWING A FORD BRONCO WAS TWO VEHICLES IN FRONT OF OUR DRIVER.  THE FORD BRONCO CAME    UNHITCHED FROM THE MOTORHOME.  VEHICLE DIRECTLY IN FRONT OF       MOTORHOME SLAMMED ON BRAKES, AS DID OUR DRIVER.  OUR DRIVER HIT   THE LEFT REAR CORNER OF THE VEHICLE IN FRONT OF HIM AND THEN WAS  REAR-ENDED BY THE VEHICLE BEHIND HIM (A GARBAGE TRUCK).",AD,Struck vehicle in rear,2,1.0,Water Damage / Frozen Pipes
NO INJURIES WHILE TURNING INTO A GAS STATION FS HIT OV WITH TAIL  SWING.,AD,Struck parked vehicle,8,0.4477386121762377,Police / Driveway Incidents
IV LEFT TURN AND STRUCK CV IN DRIVERS SIDE DOOR,AB,Our vehicle turning left,-1,0.0,Miscellaneous / Noise
"SP VEHICLE WAS PARKED AND OCCUPIED ON THE SIDE OF THE ROAD WITH   HAZARDS ON. CLAIMANT VEHICLE WAS DRIVING ON THE ROAD AND STRUCK   THE REAR DRIVER SIDE OF SP VEHICLE. CLAIMANT CONTINUED DRIVING. NOINJURIES, NO TOW, YES POLICE.",AD,Struck parked vehicle,7,1.0,Food Poisoning / Restaurant Injury
CLAIMANT DROVE OVER POTHOLE CAUSING VEHICLE DAMAGE,GD,Not Otherwise Classified,9,0.4317771659688098,Pothole / Road Hazard
"CSP PASSED A LOCATION, REVERSED AND HIT VEHICLE THAT WAS BEHIND HIM. NO INJ AND NO TOW",AB,Vehicle Accident,7,1.0,Food Poisoning / Restaurant Injury
"WALKING IN BACKROOM, STEPPED ON A SIGN ON FLOOR AND FELL          BACKWARDS. TRIED TO BREAK FALL WITH RIGHT ARM, HURTING LOWER BACK AND HITTING HEAD",GB,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
"DESCRIPTION OF WHAT HAPPENED TO CAUSE INJURY (LIST ALL DETAILS,   SPECIFIC DETAILS ON LOCATION, ACTIONS, OBJECTS AND PRODUCTS USED):ACCORDING TO SHARON THE CREDITS ON THE MOVIE JUST STARTED, AND ONEWOMAN GUEST SHE WAS START ARGUING AND SHARON SHE TOLD TO THE OTHERGUEST TO CALM DOWN, AND IF SHE CONTINUES WITH THE DISCUSSION SHE  NEED CALL THE POLICE, IMMEDIATELY THE OTHER CUSTOMER SHE THROW A  ICEE CUP TO SHARON AND THE CUP HIT THE BOTTOM PART OF HER HEAD,   WHEN THE ASSAILANT TRIED TO LEAVE THEY",GB,Assault and/or abuse,0,1.0,Rear-End Collision (IV hits OV)
A PATRON WAS BLEEDING FROM THE FACE DUE TO A LACERATION NEAR      DICK'S SPORTING GOODS; THE PATRON CLAIMED TO HAVE FALLEN DOWN     ESCALATOR BANK 2 UNIT 6 WHILE TRAVELING FROM THE FOURTH TO THIRD  FLOOR.,GB,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
MEMBER BROKE TOOTH WHILE EATING KS SIGNATURE ANGUS BEEF DUE TO    BONE IN PRODUCT,PA,Alleged foreign object in product,0,1.0,Rear-End Collision (IV hits OV)
MEMBER WENT SHOPPING CAME BACK OUT TO CAR AND NOTICED THE FRONT   BUMPER WAS SMASHED.,GD,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
"SMALL PD: THE IV DRIVER WAS ATTEMPTING TO PICK UP THE             CONTAINER IN A RESIDENTIAL NEIGHBORHOOD, WHEN THE HYDRAULICS      FAILED, AND IT SPRAYED HYDRAULIC FLUID ONTO A DRIVEWAY, AND GOT   ONTO OV1 AND OV2. NO INJURIES REPORTED.",AL,Oil or grease,6,0.7094353309565091,School Bus / Student Accident
THE CUSTOMER WAS WALKING ON THE SIDE LOT WHEN SHE TRIPPED OVER A  PANEL THAT WAS ON THE GROUND. THE CUSTOMER SUSTAINED A SCRATCH TO THE PALM OF HER LEFT HAND AND A CONTUSION TO HER RIGHT FOREARM.,GB,"Walk, path, sidewalk",0,1.0,Rear-End Collision (IV hits OV)
WHILE PACKING THE LOAD AFTER SERVING THE CUSTOMER THE IV HEARD    POPS FROM THE LOAD AND OBSERVED THE DUMP LOAD ON FIRE. THERE WAS  NO DAMAGE TO THE IV AND THERE WAS NO INJURY REPORTED.,AL,Fire - Auto,1,1.0,Slip / Trip / Fall
WHEN EATING SALAD I FELT SOMETHING HARD.  I SPIT IT OUT AND FOUND IT WAS A PIECE OF GLASS,PA,Alleged foreign object in product,0,1.0,Rear-End Collision (IV hits OV)
DRIVER WAS MAKING A TIGHT RIGHT TURN AND TRAILER HIT PARKED       VEHICLE.,AD,Struck parked vehicle,2,1.0,Water Damage / Frozen Pipes
CUSTOMER SAID THAT THE COVER PIECE FOR THE TOP OF HER RACKS BLEW  OFF AT THE BLOWERS AND BROKE ON THE PASSENGER SIDE BACKSIDE. THE  FRONT ONE ON THE PASSENGER SIDE WAS BROKE UPON ARRIVAL.,GD,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
"HPS BACKHOE WAS PARKED AT THE DEAD END OF A SERVICE ROAD CLEARLY  MARKED ROAD CLOSED. THIS WAS ON A SATURDAY NIGHT, NOT DURING WORK HOURS. A NISSAN MURANO WAS TRAVELING DOWN THE SERVICE ROAD, RAN   OFF THE ROAD AND RAN INTO HPS BACKHOE. THE NISSAN SUSTAINED       DAMAGE. WE RECEIVED A NOTIFICATION VIA EMAIL FROM A LEGAL FIRM    REPRESENTING THE DRIVER OF THE NISSAN MURANO. SEE ATTACHED. NO    CLAIM FOR HPS BACKHOE. ACCORDING TO THE POLICE REPORT AND WHAT    EVIDENCE WE GATHERED WE DO NOT FEEL AT",GD,Sideswipe or lane change,7,0.7749525367398378,Food Poisoning / Restaurant Injury
"SMALL PD THE DRIVER OF THE IV WAS TURNING AROUND AND IN THE       PROCESS THE IV D/S DRIVE TIRES, RAN OVER A SMALL PLASTIC CABLE BOXCAUSING DAMAGE. NO INJURIES REPORTED.",AL,Struck animal or object,6,0.8089382013029314,School Bus / Student Accident
"IV DRIVER WAS MAKING A RIGHT TURN ONTO US HWY 1 ON A RED LIGHT, OVDRIVER WAS MAKING A U TURN ON GREEN LIGHT ON US HWY 1. IV DRIVER  STRUCK THE OV DRIVER IN THE REAR. OV INCURRED DAMAGE TO REAR      BUMPER, D/S REAR, P/S REAR. THERE WERE NO INJURIES REPORTED.",AD,Struck vehicle in rear,1,0.937632500422703,Slip / Trip / Fall
CUSTOMER CLAIMED SHE TRIPPED ON A SHOPPING CART SAFETY ROPE.      CUSTOMER CLAIMED IT WAS BEHIND A ROW OF CARTS.,GB,Alleged Negligent Act,0,0.8631020632697993,Rear-End Collision (IV hits OV)
"THE IV REAR ENDED THE OV WHILE STOPPED AT THE PEDESTRIAN          CROSSWALK. THE IV INCURRED A RIPPED D/S FRONT FENDER, DENTED D/S  FRONT WHEEL WELL AND BENT UNDERCARRIAGE. THE OV INCURRED DENTED   REAR BUMPER, P/S REAR QUARTER PANEL AND TAILGATE AND A BROKEN P/S TAILLIGHT. NO INJURIES WERE REPORTED.",AP,Our vehicle struck in rear,1,1.0,Slip / Trip / Fall
ISSUE WITH V1 TRUCK BREAKS WERE NOT WORKING AND ALSO THERE WAS    SOME MECHENICAL ISSUE IWTH THE V1 TRUCK,AD,Other - comprehensive,11,1.0,Rock / Windshield Crack
ONE OF THE WHEEL LOCK GOT BROKEN. NOW I HAVE TO PURCHASE WHEEL    LOCKS FOR ALL 4 TIRE. I HAD TO TAKE THE CAR TO DEALER.,GD,Alleged Negligent Act,5,0.23309756874458792,Third Party Reversing
THE IV DRIVER WAS DRIVING IN THE PARKING LOT AT THE COMMERCIAL    BUSINESS WHEN THE IV BACKED OUT OF A PARKING SPOT AND STRUCK THE  D/S REAR FENDER AND DOOR OF THE OV. THE IV HAS D/S REAR FENDER ANDDOOR DAMAGE. NO INJURIES SUSTAINED. THE OV HAS SCRATCHES AND A    DENT ON THE D/S FRONT AND REAR DOORS.,AD,Backed into vehicle or object,1,1.0,Slip / Trip / Fall
THERE WAS WATER DAMAGE TO THE INSURED PROPERTY DUE TO WATER       LEAKAGE FROM SERVICING.,GD,Alleged Negligent Act,3,0.9296183629670691,Small Property Damage
"AFTER PUMPING GAS AT PUMP 7, THE CUSTOMER DROVE OFF WITH THE HOSE STILL IN THE VEHICLE. THIS CAUSED THE BREAKAWAY TO DETACH. NO     INJURIES WERE REPORTED.",RB,Not Otherwise Classified,-1,0.0,Miscellaneous / Noise
THE TENANT WAS WALKING IN HIS APARTMENT WHEN HE SLIPPED AND FELL  IN A PUDDLE OF WATER CAUSED BY A LEAK IN THE ROOF. THE TENANT     SUSTAINED INJURIES TO THE BACK AND NECK.,GB,Alleged improper maintenance - other,0,1.0,Rear-End Collision (IV hits OV)
"OUR DRIVER, GUSTAVO VAZQUEZ, ATTEMPTED TO MAKE A LANE CHANGE AND STRUCK OV .",AD,Sideswipe or lane change,4,0.6898528199774261,Vehicle Damage While Driving
"THE IV WAS AT A STOP SIGN WHEN IT PULLED OFF TO MAKE A RIGHT TURN,AND THE MACHINERY AT THE BACK OF THE IV STRUCK THE OV'S FRONT     BUMPER AND PULLED IT OFF. NO INJURIES WERE REPORTED.",AD,Struck vehicle in rear,1,1.0,Slip / Trip / Fall
"TSP DRIVER WAS HOOKING HIS REAR TRAILER, AND HIT  TRAILER 812164, THAT WAS NEXT TO HIM. PUTTING A HOLE IN THE SKIRT OF THE TRAILER  HE WAS HOOKING UP TO.",AD,Struck parked vehicle,2,0.612159693659876,Water Damage / Frozen Pipes
SMALL PD IV WAS BACKING UP FROM AN ALLEY AND STRUCK AN OVERHEAD   CABLE CAUSING IT TO BREAK. NO DAMAGE TO THE IV.NO INJURIES WERE   REPORTED.,AL,Struck/pulled down wires,6,0.6322713016500635,School Bus / Student Accident
V1 WAS PULLING THROUGH THE PARKING LOT AND STRUCK V2.,AD,Alleged damage to property of others,11,1.0,Rock / Windshield Crack
IV MADE CONTACT WITH OV AS IV WAS BACKING OUT OF A SHOPPING MALL.,AD,Backed into vehicle or object,4,0.9991032354858075,Vehicle Damage While Driving
DRIVER FELL ASLEEP AT THE WHEEL MAKING CONTACT AND REAR-ENDING V2,AP,Our vehicle struck in rear,-1,0.0,Miscellaneous / Noise
"DAVID WAS BACKING INTO THE DOCK, THERE WAS A CAR PARKED IN FRONT  SO DAVID TRIED TO CUT HIS TURN THAT'S WHEN HE HIT THE CEMENT RAIL AND SCRAPED THE PAINT OFF THE TOP.",AD,Backed into vehicle or object,-1,0.0,Miscellaneous / Noise
CLAIMANT DROVE OVER A POTHOLE CAUSING VEHICLE DAMAGE.,GD,Pothole,9,1.0,Pothole / Road Hazard
THE CLAIMANT ALLEGES THAT DEBRIS FELL FROM THE IV AND HIT THEIR   WINDSHIELD WHILE DRIVING DOWN THE HIGHWAY. THE OV INCURRED        WINDSHIELD DAMAGE. THERE WERE NO INJURIES REPORTED.,AL,Road debris/road hazard,-1,0.0,Miscellaneous / Noise
"THE INSUREDS TRUCK PULL INTO A LOW CLEARANCE LOADING AREA, AND        SCRAPPED UP SOME OF THE BUILDING AT 240 PARK AVE.",AP,Sideswipe or lane change,5,0.7086639300424763,Third Party Reversing
"WHILE BACKING OUT OF A PARKING SPACE AT A CUSTOMERS PREMISE, IV   BACKED INTO OV. NO INJURIES. DAMAGE TO BOTH VEHICLES.",AD,Backed into vehicle or object,13,1.0,Two-Vehicle Parked Collision
THE IV DRIVER WAS BACKING UP TO PARK IN A DIFFERENT SPOT AT THE   COSTCO LOCATION WHEN THE IV'S D/S REAR END MADE CONTACT WITH AN   OV'S FRONT P/S CAUSING DAMAGE. THERE WERE NO INJURIES REPORTED.,AB,Backed into vehicle or object,1,0.9672170655923065,Slip / Trip / Fall
ID REAR ENDED OV.,AD,Struck vehicle in rear,4,0.7459020912565131,Vehicle Damage While Driving
LADDER COME OFF THE TOP OF IV. CLMT ALLEGES THE LADDER BOUNCED    OVER OV TRUCK AND HIT OV TRAILER.,AD,Not Otherwise Classified,1,0.9558985763049639,Slip / Trip / Fall
"SP WAS BACKING OUT OF DRIVEWAY, STRUCK AND DAMAGED LANDSCAPING    FENCE POST WITH THE FRONT PASSENGER CORNER OF SP VEHICLE.  ALSO   DAMAGE TO SP FRONT PASSENGER CORNER.",AD,Damage to landscaping,7,0.8913650041459569,Food Poisoning / Restaurant Injury
"NORMAND RABOIN WAS DRIVING THE VEHICLE SOUTH ON HWY 29 IN         VIRGINIA, HEADING BACK TO THE DEALERSHIP AFTER DELIVERING SOME    PARTS. A DEER RAN OUT IN FRONT OF THE VEHICLE CAUSING NORM TO     SERVE TO THE RIGHT, AT THIS POINT NORM WAS HEADING FOR A GUARDRAILSO HE SWERVED TO RIGHT AGAIN AND ENDED UP IN A RAVINE/DITCH.      CAUSING DAMAGE TO THE FRONT PASSENGER SIDE OF THE VEHICLE.",AD,Vehicle Accident,2,1.0,Water Damage / Frozen Pipes
THEORY: DUMP TRUCK BACKED INTO EFREN PACHECO TRUCK 1 531. SCHADE  DRIVER DENIES INCIDENT.,AP,Backed into vehicle or object,2,0.6821175852951568,Water Damage / Frozen Pipes
"OP LUIS LEGARDA LOST CONTROL ON THE INSIDE LEFT TURN LANE AND         HIT OI DRIVER MICHAEL CURTIS WHO WAS ON THE OUTSIDE LEFT TURN LANE. OI TRIED WORKING WITH THE OP CARRIER, BUT THEY ARE NOT      ACCEPTING LIABILITY OI HAS WITNESS STATEMENTS INDICATING THAT IT  WAS OP'S FAULT. SEE ATTACHED ACCIDENT REPORT, ESTIMATE, PHOTOS ANDCORRESPONDENCE WITH OP    CARRIER.",AP,Sideswipe or lane change,1,0.8960990139921673,Slip / Trip / Fall
"BUS SLID ON ICE, HIT A TELEPHONE POLE. POLE CAME DOWN TAKING DOWN WIRES AND BLOWING A TRANSFORMER.  IN ADDITION TO POLE CRASHING    DOWN THE END OF THE DRIVEWAY CRUSHING LIGHTING AND BRICK HOUSING. DRIVER WAS TAKEN TO HOSPITAL, TREATED, AND RELEASED.  THERE WERE  ALSO ABOUT 8 STUDENTS ON BOARD.",AB,Struck animal or object,8,1.0,Police / Driveway Incidents
"UPON PULLING INTO A PARKING SPACE, THE IV DRIVER WAS TOLD THAT HE STRUCK THE REAR OF THE OV WHILE COMING OVER THE CURB WITH THE IV'STRAILER. THE OV INCURRED DENTS TO THE REAR D/S BUMPER. THERE WERE NO INJURIES REPORTED.",AD,Struck parked vehicle,1,0.899036642637957,Slip / Trip / Fall
"01/09/2023  98718 // LR WHEEL OFF //  1/29/2023 99,78",GD,Alleged Negligent Act,-1,0.0,Miscellaneous / Noise
JAR OF SAUCE FELL FROM SHELF ONTO FLOOR AND STEPPED ON BROKEN     GLASS,GB,Alleged Negligent Act,0,1.0,Rear-End Collision (IV hits OV)
THE IV WAS MAKING A RIGHT TURN AND STRUCK THE OV ON THE ROAD. THE OV FRONT P/S QUARTER PANEL IS DENTED. NO INJURIES REPORTED.,AD,Sideswipe or lane change,1,1.0,Slip / Trip / Fall
IV  STOPPED TO TURN LEFT WHEN CV HIT IV  IN REAR,AP,Our vehicle struck in rear,4,0.8420348913598866,Vehicle Damage While Driving
"GUEST CLAIMS SERVER SPILLED AN ALCOHOLIC DRINK ON THE TABLE, AND  IT DAMAGED THEIR PHONE.  SAID THE SPEAKER (FOR PLAYING VIDEOS)    SOUND WAS DISTORTED. EVERYTHING ELSE ON THE PHONE WAS IN WORKING  CONDITION.  IPHONE 13 MAX PRO, VERIFIED THROUGH THE SETTINGS ON   SAID PHONE.",GD,Alleged damage to property of others,14,0.8832944499833196,Hot Coffee / Beverage Burn
HAS A ROCK CHIP OR CRACK TO THE WINDSHIELD,GD,Road debris/road hazard,10,1.0,Delivery / Door/Window Damage
"TOILET FLOODED IN UNIT 2302, CAUSING DAMAGE DOWN TO UNIT 2202, 2102 , 2101 AND  PARKING GARAGE.",GD,"Plumbing,Heating,AC,Discharge,Overflowing",3,1.0,Small Property Damage
